model,day_abs,day_order,period,origin_zone_id,dest_zone_id,y_sum
obs,4,4,afternoon,230,161,17
obs,4,4,afternoon,230,162,13
obs,4,4,afternoon,230,163,13
obs,4,4,afternoon,230,186,16
obs,4,4,afternoon,230,230,13
obs,4,4,morning,100,100,17
obs,4,4,morning,100,161,38
obs,4,4,morning,100,162,19
obs,4,4,morning,100,163,40
obs,4,4,morning,100,186,35
obs,4,4,morning,100,230,57
obs,4,4,morning,161,100,48
obs,4,4,morning,161,161,85
obs,4,4,morning,161,162,64
obs,4,4,morning,161,163,48
obs,4,4,morning,161,186,84
obs,4,4,morning,161,230,61
obs,4,4,morning,162,100,26
obs,4,4,morning,162,161,41
obs,4,4,morning,162,162,60
obs,4,4,morning,162,163,28
obs,4,4,morning,162,186,54
obs,4,4,morning,162,230,55
obs,4,4,morning,163,100,28
obs,4,4,morning,163,161,63
obs,4,4,morning,163,162,48
obs,4,4,morning,163,163,27
obs,4,4,morning,163,186,38
obs,4,4,morning,163,230,63
obs,4,4,morning,186,100,24
obs,4,4,morning,186,161,57
obs,4,4,morning,186,162,47
obs,4,4,morning,186,163,29
obs,4,4,morning,186,186,18
obs,4,4,morning,186,230,80
obs,4,4,morning,230,100,51
obs,4,4,morning,230,161,57
obs,4,4,morning,230,162,60
obs,4,4,morning,230,163,65
obs,4,4,morning,230,186,117
obs,4,4,morning,230,230,83
obs,4,4,night,100,100,8
obs,4,4,night,100,161,28
obs,4,4,night,100,162,21
obs,4,4,night,100,163,36
obs,4,4,night,100,186,14
obs,4,4,night,100,230,31
obs,4,4,night,161,100,39
obs,4,4,night,161,161,62
obs,4,4,night,161,162,46
obs,4,4,night,161,163,37
obs,4,4,night,161,186,60
obs,4,4,night,161,230,34
obs,4,4,night,162,100,18
obs,4,4,night,162,161,58
obs,4,4,night,162,162,32
obs,4,4,night,162,163,33
obs,4,4,night,162,186,39
obs,4,4,night,162,230,16
obs,4,4,night,163,100,30
obs,4,4,night,163,161,63
obs,4,4,night,163,162,25
obs,4,4,night,163,163,24
obs,4,4,night,163,186,27
obs,4,4,night,163,230,25
obs,4,4,night,186,100,15
obs,4,4,night,186,161,48
obs,4,4,night,186,162,24
obs,4,4,night,186,163,46
obs,4,4,night,186,186,12
obs,4,4,night,186,230,69
obs,4,4,night,230,100,29
obs,4,4,night,230,161,30
obs,4,4,night,230,162,17
obs,4,4,night,230,163,45
obs,4,4,night,230,186,57
obs,4,4,night,230,230,23
obs,5,5,afternoon,100,100,5
obs,5,5,afternoon,100,161,64
obs,5,5,afternoon,100,162,22
obs,5,5,afternoon,100,163,31
obs,5,5,afternoon,100,186,5
obs,5,5,afternoon,100,230,46
obs,5,5,afternoon,161,100,8
obs,5,5,afternoon,161,161,25
obs,5,5,afternoon,161,162,26
obs,5,5,afternoon,161,163,33
obs,5,5,afternoon,161,186,8
obs,5,5,afternoon,161,230,18
obs,5,5,afternoon,162,100,32
obs,5,5,afternoon,162,161,22
obs,5,5,afternoon,162,162,27
obs,5,5,afternoon,162,163,24
obs,5,5,afternoon,162,186,29
obs,5,5,afternoon,162,230,15
obs,5,5,afternoon,163,100,12
obs,5,5,afternoon,163,161,21
obs,5,5,afternoon,163,162,12
obs,5,5,afternoon,163,163,7
obs,5,5,afternoon,163,186,7
obs,5,5,afternoon,163,230,1
obs,5,5,afternoon,186,100,18
obs,5,5,afternoon,186,161,116
obs,5,5,afternoon,186,162,59
obs,5,5,afternoon,186,163,39
obs,5,5,afternoon,186,186,11
obs,5,5,afternoon,186,230,71
obs,5,5,afternoon,230,100,9
obs,5,5,afternoon,230,161,20
obs,5,5,afternoon,230,162,14
obs,5,5,afternoon,230,163,20
obs,5,5,afternoon,230,186,16
obs,5,5,afternoon,230,230,7
obs,5,5,morning,100,100,10
obs,5,5,morning,100,161,20
obs,5,5,morning,100,162,16
obs,5,5,morning,100,163,18
obs,5,5,morning,100,186,10
obs,5,5,morning,100,230,28
obs,5,5,morning,161,100,19
obs,5,5,morning,161,161,37
obs,5,5,morning,161,162,21
obs,5,5,morning,161,163,20
obs,5,5,morning,161,186,25
obs,5,5,morning,161,230,52
obs,5,5,morning,162,100,9
obs,5,5,morning,162,161,27
obs,5,5,morning,162,162,22
obs,5,5,morning,162,163,21
obs,5,5,morning,162,186,24
obs,5,5,morning,162,230,31
obs,5,5,morning,163,100,19
obs,5,5,morning,163,161,19
obs,5,5,morning,163,162,14
obs,5,5,morning,163,163,11
obs,5,5,morning,163,186,26
obs,5,5,morning,163,230,28
obs,5,5,morning,186,100,9
obs,5,5,morning,186,161,37
obs,5,5,morning,186,162,32
obs,5,5,morning,186,163,17
obs,5,5,morning,186,186,10
obs,5,5,morning,186,230,40
obs,5,5,morning,230,100,26
obs,5,5,morning,230,161,39
obs,5,5,morning,230,162,29
obs,5,5,morning,230,163,40
obs,5,5,morning,230,186,86
obs,5,5,morning,230,230,50
obs,5,5,night,100,100,4
obs,5,5,night,100,161,30
obs,5,5,night,100,162,11
obs,5,5,night,100,163,15
obs,5,5,night,100,186,9
obs,5,5,night,100,230,21
obs,5,5,night,161,100,26
obs,5,5,night,161,161,57
obs,5,5,night,161,162,42
obs,5,5,night,161,163,53
obs,5,5,night,161,186,47
obs,5,5,night,161,230,26
obs,5,5,night,162,100,17
obs,5,5,night,162,161,36
obs,5,5,night,162,162,29
obs,5,5,night,162,163,27
obs,5,5,night,162,186,27
obs,5,5,night,162,230,22
obs,5,5,night,163,100,16
obs,5,5,night,163,161,46
obs,5,5,night,163,162,32
obs,5,5,night,163,163,16
obs,5,5,night,163,186,21
obs,5,5,night,163,230,28
obs,5,5,night,186,100,17
obs,5,5,night,186,161,45
obs,5,5,night,186,162,25
obs,5,5,night,186,163,32
obs,5,5,night,186,186,7
obs,5,5,night,186,230,39
obs,5,5,night,230,100,10
obs,5,5,night,230,161,30
obs,5,5,night,230,162,13
obs,5,5,night,230,163,29
obs,5,5,night,230,186,36
